iter	MAE	RMSE
592	0.148814946	0.1941702599
593	0.1488107923	0.1941668215
594	0.1487373532	0.1940750855
595	0.1487095608	0.194045269
596	0.148688219	0.1940196849
597	0.1486716694	0.1939975855
598	0.1486530339	0.1939728905
599	0.1486518333	0.1939714675
600	0.1486172573	0.1939299599
601	0.1485972089	0.1939071291
602	0.1485760991	0.1938853243
603	0.1485515937	0.1938597049
604	0.1485182254	0.1938177147
605	0.1485043423	0.1938026231
606	0.1484751701	0.1937676765
607	0.1484612591	0.193748806
608	0.1484366491	0.1937183486
609	0.1483989715	0.1936718424
610	0.1483635152	0.1936255849
611	0.1483522368	0.1936139382
612	0.1483278222	0.1935843039
613	0.1482936213	0.1935424919
614	0.1482535404	0.1934957536
615	0.148240083	0.1934782251
616	0.1482236582	0.1934574461
617	0.1482101003	0.1934418123
618	0.1481983951	0.1934263063
619	0.1481957601	0.1934240431
620	0.1481810694	0.1934069999
621	0.1481636678	0.1933864415
622	0.1481323364	0.1933515873
623	0.1481211081	0.193339073
624	0.1481164332	0.1933334542
625	0.1480847208	0.1932975777
626	0.148040227	0.1932387143
627	0.1479957901	0.1931911085
628	0.1479730611	0.1931650678
629	0.1479408822	0.193133654
630	0.1479243266	0.1931102915
631	0.147909609	0.1930941194
632	0.147875235	0.1930532146
633	0.1478555354	0.193028207
634	0.1478229754	0.1929864679
635	0.147822738	0.1929859389
636	0.1477988499	0.1929562712
637	0.1477974479	0.1929547191
638	0.1477776162	0.1929319139
639	0.1477581172	0.1929072992
640	0.1477424274	0.1928873629
641	0.1477200271	0.1928568229
642	0.1476956189	0.1928284125
643	0.1476621438	0.1927891617
644	0.1476428891	0.1927642938
645	0.1476075258	0.1927214328
646	0.1475569499	0.1926560078
647	0.1475551309	0.1926544325
648	0.1475324361	0.192623707
649	0.1475224519	0.1926112387
650	0.1475005156	0.1925872597
651	0.1474780647	0.1925580228
652	0.1474443498	0.1925154549
653	0.147406512	0.1924693697
654	0.1473859047	0.1924420085
655	0.1473602946	0.1924106104
656	0.1473412127	0.1923871395
657	0.1473153272	0.1923545306
658	0.1472865256	0.1923212778
659	0.1472558773	0.192282669
660	0.1472340549	0.1922537445
661	0.1472267527	0.192247352
662	0.1471843294	0.1922009033
663	0.1471513479	0.1921610411
664	0.1471493634	0.1921589598
665	0.1471317482	0.1921362803
666	0.1471152993	0.1921144279
667	0.1470876767	0.1920801115
668	0.1470478911	0.1920297725
669	0.1470384522	0.1920176104
670	0.1470053764	0.1919766693
671	0.146987614	0.1919573677
672	0.14696205	0.1919274037
673	0.1469516349	0.1919161589
674	0.1469211762	0.191878823
675	0.1469051663	0.1918619308
676	0.1468945337	0.1918471392
677	0.1468523475	0.1918005515
678	0.1468510662	0.1917992114
679	0.1468157082	0.191751034
680	0.1468140114	0.1917499809
681	0.1467800145	0.1917043937
682	0.146736923	0.1916487802
683	0.146705146	0.1916075211
684	0.146678	0.1915759284
685	0.1466557533	0.1915447189
686	0.1466371016	0.191521257
687	0.1466214118	0.1915041625
688	0.1466121573	0.1914918904
689	0.1465917268	0.1914673358
690	0.1465829998	0.1914573877
691	0.1465691412	0.1914388305
692	0.1465678734	0.1914375239
693	0.1465304598	0.1913971551
694	0.146515862	0.1913774353
695	0.1464960327	0.1913518777
696	0.1464754935	0.1913260458
697	0.1464543936	0.1913003906
698	0.1464295817	0.1912694628
699	0.1464282718	0.191268356
700	0.1464242566	0.1912650016
701	0.1463748274	0.1912051101
702	0.1463402761	0.1911653561
703	0.1463120436	0.1911280198
704	0.1462855562	0.191096621
705	0.1462515391	0.1910558549
706	0.146245243	0.1910494626
707	0.1462341201	0.1910356434
708	0.1461945137	0.1909865467
709	0.1461668724	0.19095065
710	0.1461552575	0.190935056
711	0.1461423458	0.1909223628
712	0.1461271466	0.1909012566
713	0.1461160491	0.1908898568
714	0.1460663228	0.1908333927
715	0.146035682	0.1907915167
716	0.1459937909	0.1907397883
717	0.1459854408	0.1907297581
718	0.1459688408	0.1907071391
719	0.1459581774	0.190693512
720	0.145922698	0.1906544547
721	0.1458981575	0.1906226492
722	0.1458786028	0.1905975372
723	0.1458623614	0.1905784683
724	0.1458398881	0.1905527913
725	0.1458178734	0.1905250822
726	0.1457951021	0.1904945257
727	0.1457591749	0.1904500629
728	0.1457397065	0.1904257789
729	0.145705032	0.1903799278
730	0.1456786495	0.1903450515
731	0.1456501377	0.1903059837
732	0.1456351405	0.1902879197
733	0.1456079067	0.1902552404
